pup,Colony,density_5km,density_15km,density_30km,type,season,season_num,Date___fert,Name,pup_gender,pupSex,pup,FA_pup,pup_weight,comments,parasites,temprature_IMS,date,BMI,group,date_from_peak_spring,gc_numeric,date_from_peak_winter,real_year,age
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,1,M,1,57,NaN,,0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,57,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,0,F,1,57,33,,1,17.4,282,0.578947368,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-22,,0,F,1,57,36,,0,26.3,365,0.631578947,0,,,,0,
111,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-2,0,F,1,58,28,,2,17,94,0.482758621,1,,,,1,27.22162628
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,05-Jul-21,,0,F,1,58,NaN,,NaN,24.9,1,#VALUE!,0,,,-109,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,02-Aug-21,,1,M,1,58,NaN,,10,27.2,28,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,58,NaN,,9,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,58,NaN,,3,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,1,M,1,58,NaN,,0,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,14-Apr-22,,0,F,1,58,32,,1,18.6,283,0.551724138,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,02-Aug-21,,1,M,1,59,NaN,recapture Anita,0,26.8,28,#VALUE!,0,,,-80,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,59,NaN,,1,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,12-May-22,,0,F,1,59,36,,1,21.1,311,0.610169492,0,0,,,0,
133,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-24,1,M,1,60,37,,1,17,94,0.616666667,1,,,,1,30.33880217
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,20-Jul-21,,1,M,1,60,NaN,,NaN,27.2,15,#VALUE!,0,,,-94,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,20-Jul-21,,0,F,1,60,NaN,,NaN,26.4,15,#VALUE!,0,,,-94,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,0,F,1,60,NaN,recapture  5/07/21,0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-22,,0,F,1,60,33,,0,26.3,365,0.55,0,,,,0,
