Var1,Colony,density_5km,density_15km,density_30km,type,season,Date___fert,Name,newChip,Sex,AGE,pupSex,pup,FA_mom,FA_pup,Weight_mom,pup_weight,preg_list,non_preg_list,min_reproductive_state,Reproductive_State,comments,BellyWidth,preg_parasites,parasites,nonpreg_parasites,temprature_IMS,,,date,BMI,preg_ratio,Reproductive_State_numeric,,min_morphology_numeric,min_morphology,morphology,group,real_year,winter_group,mom&preg
172,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,26-Mar-0023,JF -21,NaN,F,adult,M,1,96,51,161,35,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,16,,,91,1.505376344,0.90625,0,,1,natural,limestone cave,1,1,0,1
173,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,26-Mar-0023,JF -22,NaN,F,adult,M,1,104,52,139,29,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,16,,,91,1.523255814,0.90625,0,,1,natural,limestone cave,1,1,0,1
174,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,26-Mar-0023,JF -23,NaN,F,adult,M,1,96,50,138,33,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,16,,,91,1.712765957,0.90625,0,,1,natural,limestone cave,1,1,0,1
175,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,26-Mar-0023,SH-1,NaN,F,adult,M,1,93,44,120,28,NaN,1,mom pup,mom pup,,NaN,NaN,5,5,16.4,,,91,1.642105263,0.90625,0,,1,natural,limestone cave,1,1,0,1
176,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,26-Mar-0023,SH-2,NaN,F,adult,F,1,98,45,140,26,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,16.4,,,91,1.698924731,0.90625,0,,1,natural,limestone cave,1,1,0,1
177,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,26-Mar-0023,SH-3,NaN,F,adult,F,1,94,56,150,34,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,16.4,,,91,1.755319149,0.90625,0,,1,natural,limestone cave,1,1,0,1
178,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,26-Mar-0023,SH-4,NaN,F,adult,F,1,94,52,133,31,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,16.4,,,91,1.663043478,0.90625,0,,1,natural,limestone cave,1,1,0,1
179,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,26-Mar-0023,SH-5,NaN,F,adult,F,1,94,53,129,29,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,16.4,,,91,1.395833333,0.90625,0,,1,natural,limestone cave,1,1,0,1
180,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,26-Mar-0023,SH-6,NaN,F,adult,F,1,90,40,120,22,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,16.4,,,91,1.681318681,0.90625,0,,1,natural,limestone cave,1,1,0,1
181,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,26-Mar-0023,SH-7,NaN,F,adult,M,1,95,50,153,30,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,16.4,,,91,1.684210526,0.90625,0,,1,natural,limestone cave,1,1,0,1
