Date___fert,date,Colony,type,Name,density_5km,density_15km,newChip,Sex,AGE,pup sex,pup,FA_mom,FA_pup,Weight_mom,pup_weight,preg_list,non_preg_list,min_reproductive_state,Reproductive_State,comments,BellyWidth,preg_parasites,parasites,nonpreg_parasites,mom&preg,Reproductive_State_numeric,temprature_IMS
28-Mar-23,91,Segafim,rural,SG-2,407.8869522,341.8639742,,F,adult,,0,93,,154,,1,,pregnant,pregnant,,46,0,0,,1,,14.8
28-Mar-23,91,Segafim,rural,SG-3,407.8869522,341.8639742,,F,adult,M,1,92,37,120,21,,1,non pregnant,mom pup,,,,0,0,1,,14.8
28-Mar-23,91,Segafim,rural,SG-4,407.8869522,341.8639742,,F,adult,F,1,94,46,131,27,,1,non pregnant,mom pup,,,,1,1,1,,14.8
28-Mar-23,91,Segafim,rural,SG-5,407.8869522,341.8639742,,F,adult,,0,90,,118,,,1,non pregnant,non pregnant,,,,0,0,0,,14.8
28-Mar-23,91,Segafim,rural,SG-6,407.8869522,341.8639742,,F,adult,M,1,93,41,130,24,,1,non pregnant,mom pup,,,,3,3,1,,14.8
28-Mar-23,91,Segafim,rural,SG-7,407.8869522,341.8639742,,F,adult,M,1,92,42,126,29,,1,non pregnant,mom pup,,,,0,0,1,,14.8
28-Mar-23,91,Segafim,rural,SG-8,407.8869522,341.8639742,,F,adult,,0,92,,159,,1,,pregnant,pregnant,,46,1,1,,1,,14.8
28-Mar-23,91,Segafim,rural,SG-9,407.8869522,341.8639742,,F,adult,M,1,94,42,120,23,,1,non pregnant,mom pup,,,,2,2,1,,14.8
28-Mar-23,91,Segafim,rural,SG-10,407.8869522,341.8639742,,F,adult,F,1,96,41,130,19,,1,non pregnant,mom pup,,,,0,0,1,,14.8
28-Mar-23,91,Segafim,rural,SG-11,407.8869522,341.8639742,,F,adult,M,1,96,39,127,21,,1,non pregnant,mom pup,,,,0,0,1,,14.8
28-Mar-23,91,Segafim,rural,SG-12,407.8869522,341.8639742,,F,adult,,0,90,,122,,,1,non pregnant,non pregnant,,,,0,0,0,,14.8
